简介（方式·小区名 户型 朝向）,区,地铁站,村,面积大小（㎡）,朝向,户型,楼层类型,楼层（层）,标签
整租·远中风华园(公寓) 1室0厅 南,静安,南京西路,远中风华园(公寓),43,南,1室0厅0卫,地下室                        ,2,近地铁
整租·黄浦丽园 1室0厅 南,黄浦,蓬莱公园,黄浦丽园,30,南,1室0厅0卫,地下室                        ,3,"近地铁,精装"
整租·武定路116弄 1室0厅 南/西,静安,南京西路,武定路116弄,9,南 西,1室0厅1卫,低楼层                        ,2,近地铁
整租·清涧六街坊 1室1厅 南,普陀,真光,清涧六街坊,46,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·解放新村 2室1厅 南,奉贤,南桥,解放新村,52,南,2室1厅1卫,高楼层                        ,4,随时看房
整租·合肥路161号 1室1厅 南,黄浦,新天地,合肥路161号,47,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·中漕小区 1室1厅 南,徐汇,徐家汇,中漕小区,46,南,1室1厅1卫,高楼层                        ,8,近地铁
整租·荣乐小区 1室1厅 南,松江,松江老城,荣乐小区,18,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·德盈佳园 3室2厅 南,浦东,惠南,德盈佳园,130,南,3室2厅2卫,高楼层                        ,11,双卫生间
整租·利安小区 2室0厅 南,长宁,中山公园,利安小区,26,南,2室0厅1卫,低楼层                        ,6,近地铁
整租·汇成四村 1室0厅 南,徐汇,上海南站,汇成四村,34,南,1室0厅1卫,中楼层                        ,6,随时看房
整租·泰安公寓 2室2厅 南,青浦,朱家角,泰安公寓,98,南,2室2厅1卫,中楼层                        ,4,随时看房
整租·四平路421弄 1室0厅 南,虹口,鲁迅公园,四平路421弄,30,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·玉田新村 1室0厅 南,虹口,曲阳,玉田新村,34,南,1室0厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·保平小区 2室1厅 南,静安,彭浦,保平小区,54,南,2室1厅1卫,低楼层                        ,6,近地铁
整租·长春小区 1室1厅 南,徐汇,田林,长春小区,48,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·开鲁一村 1室1厅 南,杨浦,中原,开鲁一村,11,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·协和家园 2室1厅 南,长宁,北新泾,协和家园,79,南,2室1厅1卫,高楼层                        ,13,近地铁
整租·政立路830弄 2室1厅 南,杨浦,五角场,政立路830弄,65,南,2室1厅1卫,中楼层                        ,6,近地铁
整租·三门路358弄 1室1厅 南,杨浦,五角场,三门路358弄,43,南,1室1厅1卫,中楼层                        ,7,近地铁
整租·华苑小区 1室1厅 南,长宁,中山公园,华苑小区,40,南,1室1厅1卫,低楼层                        ,6,"近地铁,精装"
整租·康达公寓 1室1厅 南,浦东,惠南,康达公寓,60,南,1室1厅1卫,中楼层                        ,3,近地铁
整租·曹杨九村 1室0厅 南,普陀,曹杨,曹杨九村,29,南,1室0厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·乐山四五村 1室1厅 南/北,徐汇,徐家汇,乐山四五村,9,南 北,1室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·钻石苑 1室0厅 北,浦东,川沙,钻石苑,30,北,1室0厅1卫,高楼层                        ,4,近地铁
整租·万航渡路1514号 1室1厅 北,长宁,中山公园,万航渡路1514号,24,北,1室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·中华小区 1室1厅 东/西北,长宁,新华路,中华小区,31,东 西北,1室1厅1卫,中楼层                        ,7,"近地铁,随时看房"
整租·锦园坊 1室1厅 南,浦东,惠南,锦园坊,57,南,1室1厅1卫,高楼层                        ,11,随时看房
整租·瑞虹新城怡庭 1室0厅 南,虹口,临平路,瑞虹新城怡庭,39,南,1室0厅0卫,地下室                        ,2,近地铁
整租·新一小区 1室0厅 南,虹口,江湾镇,新一小区,42,南,1室0厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·施镇公寓 2室1厅 南,浦东,川沙,施镇公寓,76,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·控江五村 1室1厅 东/北,杨浦,黄兴公园,控江五村,28,东 北,1室1厅1卫,低楼层                        ,5,"近地铁,随时看房"
整租·淮海中路584弄 1室0厅 南,黄浦,淮海中路,淮海中路584弄,15,南,1室0厅1卫,中楼层                        ,3,近地铁
整租·安乐坊 1室1厅 南,静安,南京西路,安乐坊,22,南,1室1厅1卫,中楼层                        ,5,近地铁
整租·翔川家园 1室1厅 南,浦东,川沙,翔川家园,20,南,1室1厅1卫,低楼层                        ,6,近地铁
整租·铁路新村(杨浦) 1室1厅 南,杨浦,五角场,铁路新村(杨浦),37,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·中原纪联小区 1室1厅 南,杨浦,中原,中原纪联小区,46,南,1室1厅1卫,高楼层                        ,7,近地铁
整租·桃园新城中虹佳园 2室2厅 南/北,浦东,周浦,桃园新城中虹佳园,72,南 北,2室2厅1卫,高楼层                        ,5,随时看房
整租·百乐公寓 1室0厅 南,徐汇,斜土路,百乐公寓,23,南,1室0厅0卫,低楼层                        ,1,近地铁
整租·江苏北路105弄 1室0厅 南,长宁,中山公园,江苏北路105弄,32,南,1室0厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·桃浦一村瑞香苑 1室0厅 南,普陀,桃浦,桃浦一村瑞香苑,19,南,1室0厅0卫,高楼层                        ,5,近地铁
整租·汇成四村 2室0厅 南,徐汇,上海南站,汇成四村,50,南,2室0厅1卫,高楼层                        ,6,随时看房
整租·国际丽都城 1室0厅 南,静安,南京西路,国际丽都城,30,南,1室0厅0卫,地下室                        ,1,近地铁
整租·知音小区 1室1厅 南,长宁,新华路,知音小区,30,南,1室1厅1卫,高楼层                        ,7,近地铁
整租·国际丽都城 1室0厅 南,静安,南京西路,国际丽都城,30,南,1室0厅0卫,地下室                        ,1,近地铁
整租·汇成四村 2室0厅 南,徐汇,上海南站,汇成四村,50,南,2室0厅1卫,高楼层                        ,6,随时看房
整租·工农四村星源花苑 1室1厅 南,杨浦,中原,工农四村星源花苑,95,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·国年路65弄 1室1厅 南,杨浦,五角场,国年路65弄,38,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·长宁支路326弄 1室0厅 南,长宁,中山公园,长宁支路326弄,32,南,1室0厅1卫,高楼层                        ,4,近地铁
整租·长桥一村 1室1厅 南,徐汇,长桥,长桥一村,42,南,1室1厅1卫,中楼层                        ,6,随时看房
整租·桃浦七村雪松苑 1室1厅 南,普陀,桃浦,桃浦七村雪松苑,35,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·三门路24弄 1室1厅 南,杨浦,中原,三门路24弄,36,南,1室1厅1卫,高楼层                        ,5,近地铁
整租·中远两湾城 1室0厅 南,普陀,中远两湾城,中远两湾城,30,南,1室0厅0卫,低楼层                        ,9,近地铁
整租·黄山锦庭 1室1厅 南,静安,闸北公园,黄山锦庭,34,南,1室1厅1卫,中楼层                        ,18,近地铁
整租·龚家宅 1室0厅 西,普陀,甘泉宜川,龚家宅,30,西,1室0厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·瑞冬小区 1室1厅 南,长宁,北新泾,瑞冬小区,41,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·三义坊 1室0厅 北,静安,静安寺,三义坊,32,北,1室0厅1卫,高楼层                        ,2,近地铁
整租·控江路652弄 1室0厅 南,杨浦,控江路,控江路652弄,36,南,1室0厅1卫,高楼层                        ,5,近地铁
整租·天山二村 1室1厅 南,长宁,中山公园,天山二村,41,南,1室1厅1卫,低楼层                        ,6,"近地铁,精装"
整租·虹二小区 1室0厅 南,徐汇,徐家汇,虹二小区,28,南,1室0厅1卫,高楼层                        ,3,近地铁
整租·龙山新村 1室0厅 南,徐汇,万体馆,龙山新村,18,南,1室0厅1卫,高楼层                        ,5,近地铁
整租·瑞金二路204号 2室1厅 东南/南,黄浦,淮海中路,瑞金二路204号,48,东南 南,2室1厅1卫,高楼层                        ,7,近地铁
整租·广中一村 1室0厅 南,虹口,凉城,广中一村,18,南,1室0厅1卫,中楼层                        ,4,"近地铁,随时看房"
整租·甘泉一村 1室0厅 北,普陀,甘泉宜川,甘泉一村,26,北,1室0厅1卫,中楼层                        ,5,近地铁
整租·田林十二村 1室1厅 南,徐汇,田林,田林十二村,30,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·斜土路2200弄 1室1厅 南,徐汇,徐家汇,斜土路2200弄,41,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·日晖六村 1室1厅 北,徐汇,斜土路,日晖六村,34,北,1室1厅1卫,中楼层                        ,5,"近地铁,精装,随时看房"
整租·大宁路660弄 1室1厅 南,静安,大宁,大宁路660弄,28,南,1室1厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·茶陵小区 1室0厅 北,徐汇,斜土路,茶陵小区,25,北,1室0厅1卫,高楼层                        ,4,"近地铁,随时看房"
整租·上中路458弄 2室0厅 南,徐汇,植物园,上中路458弄,54,南,2室0厅1卫,高楼层                        ,6,随时看房
整租·周家湾小区 1室0厅 南,徐汇,龙华,周家湾小区,45,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·泉灵小区 1室1厅 南,静安,彭浦,泉灵小区,43,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·乐山四五村 1室0厅 东北,徐汇,徐家汇,乐山四五村,16,东北,1室0厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·广中扩大小区 1室1厅 南,虹口,凉城,广中扩大小区,35,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·柳市路82号 2室2厅 南,黄浦,董家渡,柳市路82号,40,南,2室2厅2卫,高楼层                        ,6,"近地铁,双卫生间,随时看房"
整租·控江四村 1室1厅 东,杨浦,黄兴公园,控江四村,33,东,1室1厅1卫,低楼层                        ,6,"近地铁,精装,随时看房"
整租·康平小区 1室1厅 南,静安,彭浦,康平小区,44,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·鞍山六村 1室0厅 南,杨浦,鞍山,鞍山六村,32,南,1室0厅1卫,低楼层                        ,5,"近地铁,随时看房"
整租·中华小区 1室1厅 南,长宁,新华路,中华小区,35,南,1室1厅1卫,高楼层                        ,7,近地铁
整租·天钥新村 1室0厅 南,徐汇,万体馆,天钥新村,37,南,1室0厅1卫,中楼层                        ,6,近地铁
整租·永嘉路39弄 1室1厅 南,黄浦,淮海中路,永嘉路39弄,35,南,1室1厅1卫,中楼层                        ,5,近地铁
整租·天山四村 1室0厅 南,长宁,中山公园,天山四村,28,南,1室0厅1卫,高楼层                        ,4,近地铁
整租·玉田新村 1室1厅 南,虹口,曲阳,玉田新村,32,南,1室1厅1卫,中楼层                        ,5,"近地铁,随时看房"
整租·牌楼路23-29号 1室1厅 东,黄浦,老西门,牌楼路23,30,东,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·控江小区 1室0厅 北,杨浦,鞍山,控江小区,31,北,1室0厅1卫,高楼层                        ,5,近地铁
整租·西凌新邨 1室1厅 北,黄浦,蓬莱公园,西凌新邨,30,北,1室1厅1卫,低楼层                        ,6,"近地铁,精装"
整租·大金更小区 1室1厅 南,长宁,仙霞,大金更小区,43,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·新华南园大厦 1室1厅 西北/北,黄浦,世博滨江,新华南园大厦,48,西北 北,1室1厅1卫,中楼层                        ,31,"近地铁,精装"
整租·华钜御庭(二期)(公寓) 2室2厅 南,浦东,惠南,华钜御庭(二期)(公寓),91,南,2室2厅1卫,低楼层                        ,18,随时看房
整租·长宁路1488弄3支弄 1室1厅 南/北,长宁,中山公园,长宁路1488弄3支弄,38,南 北,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·沪金大楼 1室1厅 南,静安,西藏北路,沪金大楼,20,南,1室1厅0卫,低楼层                        ,26,近地铁
整租·泰安路20号 1室0厅 南,徐汇,衡山路,泰安路20号,7,南,1室0厅0卫,低楼层                        ,4,近地铁
整租·场中路2401弄 1室1厅 南,静安,彭浦,场中路2401弄,38,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·虹日小区 1室1厅 南,长宁,虹桥,虹日小区,39,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·斜土新村 1室1厅 南,黄浦,打浦桥,斜土新村,42,南,1室1厅1卫,中楼层                        ,7,近地铁
整租·鞍山四村第一小区 1室0厅 东,杨浦,鞍山,鞍山四村第一小区,28,东,1室0厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·龙馨公寓 1室1厅 南,浦东,川沙,龙馨公寓,63,南,1室1厅1卫,低楼层                        ,6,随时看房
整租·思南路115弄 1室1厅 南,黄浦,打浦桥,思南路115弄,33,南,1室1厅1卫,高楼层                        ,7,"近地铁,精装,随时看房"
整租·保德公寓 1室1厅 南,静安,彭浦,保德公寓,49,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·忆定村 1室0厅 南,长宁,镇宁路,忆定村,14,南,1室0厅1卫,低楼层                        ,1,"近地铁,随时看房"
整租·安顺路273号 1室1厅 南,长宁,虹桥,安顺路273号,34,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·辽源西路3号 1室1厅 南,杨浦,鞍山,辽源西路3号,38,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·田林八村 1室0厅 南,徐汇,田林,田林八村,34,南,1室0厅1卫,中楼层                        ,6,近地铁
整租·西王小区 1室1厅 北,静安,南京西路,西王小区,27,北,1室1厅1卫,中楼层                        ,6,近地铁
整租·中华小区 1室1厅 东北,长宁,新华路,中华小区,33,东北,1室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·控江七村 1室0厅 南,杨浦,控江路,控江七村,34,南,1室0厅1卫,高楼层                        ,5,近地铁
整租·东湾小区 2室1厅 南,徐汇,华泾,东湾小区,73,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·宜川四村 1室0厅 南,普陀,甘泉宜川,宜川四村,34,南,1室0厅1卫,高楼层                        ,5,随时看房
整租·寿山坊 1室1厅 南,徐汇,康健,寿山坊,40,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·北蒙三小区 1室1厅 南,黄浦,五里桥,北蒙三小区,31,南,1室1厅1卫,高楼层                        ,7,近地铁
整租·龙潭小区 1室0厅 南/北,静安,阳城,龙潭小区,35,南 北,1室0厅1卫,中楼层                        ,6,近地铁
整租·殷行路571弄 1室0厅 南,杨浦,中原,殷行路571弄,35,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·翔殷路491弄 1室0厅 南,杨浦,黄兴公园,翔殷路491弄,33,南,1室0厅1卫,中楼层                        ,6,近地铁
整租·嘉苑公寓 1室1厅 南,虹口,鲁迅公园,嘉苑公寓,15,南,1室1厅1卫,低楼层                        ,9,近地铁
整租·延平路482弄 1室1厅 南,静安,曹家渡,延平路482弄,36,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装"
整租·陕西南路271弄 1室0厅 南,黄浦,淮海中路,陕西南路271弄,32,南,1室0厅1卫,中楼层                        ,8,"近地铁,精装"
整租·工农三村 1室1厅 南,杨浦,中原,工农三村,45,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·三门路358弄 1室1厅 南,杨浦,五角场,三门路358弄,42,南,1室1厅1卫,高楼层                        ,7,近地铁
整租·共康四村 1室1厅 南,静安,彭浦,共康四村,37,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·局三小区 2室1厅 南,黄浦,五里桥,局三小区,50,南,2室1厅1卫,中楼层                        ,6,近地铁
整租·长白三村 1室1厅 南,杨浦,黄兴公园,长白三村,30,南,1室1厅1卫,低楼层                        ,5,"近地铁,随时看房"
整租·引翔港小区 1室0厅 南,杨浦,周家嘴路,引翔港小区,29,南,1室0厅1卫,中楼层                        ,6,近地铁
整租·武夷路219弄 1室0厅 南,长宁,中山公园,武夷路219弄,30,南,1室0厅1卫,中楼层                        ,4,"新上,近地铁,精装"
整租·丽泽荷亭苑 2室1厅 南/北,浦东,书院镇,丽泽荷亭苑,60,南 北,2室1厅1卫,高楼层                        ,6,押一付一
整租·长白二村 1室0厅 南,杨浦,黄兴公园,长白二村,34,南,1室0厅1卫,高楼层                        ,5,近地铁
整租·桃浦十村（紫腾苑小区白丽路701弄） 1室1厅 南,普陀,桃浦,桃浦十村（紫腾苑小区白丽路701弄）,33,南,1室1厅1卫,中楼层                        ,7,近地铁
整租·布鲁斯小镇(绿地·皇家官邸) 3室2厅 南/北,浦东,惠南,布鲁斯小镇(绿地·皇家官邸),172,南 北,3室2厅2卫,高楼层                        ,18,双卫生间
整租·开鲁路382弄 1室1厅 南,杨浦,中原,开鲁路382弄,42,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·鞍山四村第三小区 1室0厅 东,杨浦,鞍山,鞍山四村第三小区,27,东,1室0厅1卫,中楼层                        ,5,"近地铁,随时看房"
整租·西凌新邨 2室0厅 南,黄浦,蓬莱公园,西凌新邨,47,南,2室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·民乐城馨园 2室1厅 南,浦东,惠南,民乐城馨园,80,南,2室1厅1卫,中楼层                        ,11,近地铁
整租·康宁坊 1室1厅 南,徐汇,康健,康宁坊,45,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·大宁新村 1室0厅 南,静安,大宁,大宁新村,35,南,1室0厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·华沁家园 1室1厅 南,徐汇,植物园,华沁家园,56,南,1室1厅1卫,低楼层                        ,35,随时看房
整租·彭新小区 1室1厅 南,静安,彭浦,彭新小区,41,南,1室1厅1卫,低楼层                        ,6,近地铁
整租·汇成四村 2室0厅 南,徐汇,上海南站,汇成四村,53,南,2室0厅1卫,中楼层                        ,6,随时看房
整租·控江路1200弄 1室1厅 南,杨浦,控江路,控江路1200弄,29,南,1室1厅1卫,高楼层                        ,5,近地铁
整租·泰安公寓 2室2厅 南,青浦,朱家角,泰安公寓,76,南,2室2厅1卫,高楼层                        ,6,随时看房
整租·阳景小区 1室0厅 南,静安,彭浦,阳景小区,35,南,1室0厅1卫,中楼层                        ,6,随时看房
整租·万康家园 1室1厅 南,虹口,江湾镇,万康家园,45,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·纺平大楼小区 1室0厅 南,杨浦,周家嘴路,纺平大楼小区,36,南,1室0厅1卫,中楼层                        ,5,随时看房
整租·园南三村 1室1厅 南,徐汇,植物园,园南三村,38,南,1室1厅1卫,中楼层                        ,6,随时看房
整租·芷江中路413弄 1室1厅 南,静安,西藏北路,芷江中路413弄,38,南,1室1厅1卫,高楼层                        ,7,近地铁
整租·武定西路1371弄 1室0厅 北,长宁,镇宁路,武定西路1371弄,22,北,1室0厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·虹霞小区 1室0厅 南,长宁,仙霞,虹霞小区,33,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·中山北路197弄 1室1厅 南,静安,闸北公园,中山北路197弄,35,南,1室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·西木小区 1室1厅 南,徐汇,斜土路,西木小区,38,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·上工新村 1室0厅 南,静安,大宁,上工新村,9,南,1室0厅1卫,高楼层                        ,3,近地铁
整租·龙吴路13弄 1室1厅 南,徐汇,万体馆,龙吴路13弄,44,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·零陵小区 1室0厅 南,徐汇,徐家汇,零陵小区,16,南,1室0厅1卫,低楼层                        ,6,"近地铁,精装,随时看房"
整租·玉田新村 1室0厅 北,虹口,曲阳,玉田新村,33,北,1室0厅1卫,低楼层                        ,6,近地铁
整租·海防村 1室1厅 南,静安,江宁路,海防村,28,南,1室1厅1卫,中楼层                        ,7,近地铁
整租·平保小区 2室1厅 南,静安,彭浦,平保小区,43,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·芙二小区 2室0厅 东南,长宁,仙霞,芙二小区,52,东南,2室0厅1卫,中楼层                        ,6,随时看房
整租·殷行路305弄 1室1厅 南,杨浦,中原,殷行路305弄,36,南,1室1厅1卫,中楼层                        ,5,"近地铁,随时看房"
整租·西木小区 1室0厅 南,徐汇,斜土路,西木小区,20,南,1室0厅1卫,高楼层                        ,3,"近地铁,随时看房"
整租·长顺路14号 1室0厅 南,长宁,新华路,长顺路14号,35,南,1室0厅1卫,高楼层                        ,6,近地铁
整租·鲁班路400弄 1室0厅 南,黄浦,打浦桥,鲁班路400弄,25,南,1室0厅0卫,低楼层                        ,5,近地铁
整租·公兴路39弄 1室1厅 西,静安,西藏北路,公兴路39弄,51,西,1室1厅1卫,高楼层                        ,5,"近地铁,随时看房"
整租·玉屏小区 1室0厅 东/西,长宁,中山公园,玉屏小区,24,东 西,1室0厅1卫,中楼层                        ,6,近地铁
整租·新泾三村 1室1厅 东,长宁,北新泾,新泾三村,50,东,1室1厅1卫,高楼层                        ,5,"近地铁,随时看房"
整租·延吉五村 1室0厅 南,杨浦,黄兴公园,延吉五村,36,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·柳营路319弄 1室1厅 南,静安,闸北公园,柳营路319弄,29,南,1室1厅1卫,低楼层                        ,6,"近地铁,精装,随时看房"
整租·王家堂小区 1室1厅 南,徐汇,徐家汇,王家堂小区,39,南,1室1厅1卫,低楼层                        ,6,近地铁
整租·东方冠郡 1室1厅 西,浦东,新场,东方冠郡,45,西,1室1厅1卫,中楼层                        ,5,随时看房
整租·凯德新视界(一期) 2室1厅 南/北,浦东,万祥镇,凯德新视界(一期),84,南 北,2室1厅1卫,低楼层                        ,12,精装
整租·民生里 1室0厅 南,长宁,中山公园,民生里,31,南,1室0厅1卫,高楼层                        ,6,近地铁
整租·临汾路1231弄 1室0厅 南,静安,彭浦,临汾路1231弄,38,南,1室0厅1卫,高楼层                        ,6,近地铁
整租·永馨小区 1室1厅 南,长宁,北新泾,永馨小区,32,南,1室1厅1卫,低楼层                        ,6,近地铁
整租·卜邻公寓 1室1厅 南,黄浦,淮海中路,卜邻公寓,30,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·水塘小区 1室0厅 南,普陀,真如,水塘小区,15,南,1室0厅0卫,中楼层                        ,6,近地铁
整租·瑞金一路138号 1室1厅 南,黄浦,淮海中路,瑞金一路138号,50,南,1室1厅1卫,高楼层                        ,4,"近地铁,精装"
整租·经典茂名公寓 1室0厅 东/西/北,静安,南京西路,经典茂名公寓,64,东 西 北,1室0厅0卫,低楼层                        ,31,近地铁
整租·市民新村 1室1厅 南,黄浦,世博滨江,市民新村,21,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·康乐小区(徐汇) 2室1厅 南,徐汇,康健,康乐小区(徐汇),51,南,2室1厅1卫,高楼层                        ,6,"月租,近地铁,随时看房"
整租·中华新路893弄 1室0厅 南,静安,不夜城,中华新路893弄,36,南,1室0厅1卫,高楼层                        ,5,近地铁
整租·永和二村 1室1厅 南,静安,永和,永和二村,31,南,1室1厅1卫,中楼层                        ,6,随时看房
整租·延长小区(闸北) 1室1厅 南,静安,大宁,延长小区(闸北),30,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·阳曲路470弄 1室1厅 南,静安,彭浦,阳曲路470弄,39,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·海尚逸苑 1室1厅 南,虹口,江湾镇,海尚逸苑,54,南,1室1厅1卫,低楼层                        ,14,随时看房
整租·昌盛苑 1室1厅 南,静安,彭浦,昌盛苑,46,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·共康三村 2室0厅 南/北,静安,彭浦,共康三村,44,南 北,2室0厅1卫,高楼层                        ,6,新上
整租·八方小区 1室1厅 南,静安,大宁,八方小区,41,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·钦州南路300弄 1室1厅 南,徐汇,康健,钦州南路300弄,47,南,1室1厅1卫,中楼层                        ,6,"新上,近地铁"
整租·嘉善路232弄 1室0厅 北,徐汇,建国西路,嘉善路232弄,15,北,1室0厅1卫,中楼层                        ,6,"近地铁,精装"
整租·长虹小区 1室1厅 南,长宁,新华路,长虹小区,35,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装"
整租·凌云新村 1室1厅 南,徐汇,华东理工,凌云新村,50,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·宛南五村 1室1厅 南,徐汇,龙华,宛南五村,32,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·合肥路412号 1室1厅 北,黄浦,新天地,合肥路412号,20,北,1室1厅1卫,低楼层                        ,1,"近地铁,随时看房"
整租·巴黎公寓 1室1厅 西北,黄浦,新天地,巴黎公寓,27,西北,1室1厅1卫,低楼层                        ,3,"近地铁,随时看房"
整租·制造局路779-781号 1室1厅 南,黄浦,世博滨江,制造局路779,34,南,1室1厅1卫,中楼层                        ,6,近地铁
整租·海州路10号 1室1厅 南,杨浦,周家嘴路,海州路10号,38,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·宣化路221号 1室0厅 南,长宁,中山公园,宣化路221号,35,南,1室0厅1卫,高楼层                        ,7,近地铁
整租·法华镇路315弄 1室0厅 北,长宁,新华路,法华镇路315弄,26,北,1室0厅1卫,中楼层                        ,7,近地铁
整租·丽园路514弄 1室1厅 南,黄浦,五里桥,丽园路514弄,49,南,1室1厅1卫,低楼层                        ,7,近地铁
整租·康平小区 2室0厅 南,静安,彭浦,康平小区,53,南,2室0厅1卫,中楼层                        ,6,近地铁
整租·工农二村 1室1厅 南,杨浦,中原,工农二村,42,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·龙潭小区 2室1厅 南/北,静安,阳城,龙潭小区,52,南 北,2室1厅1卫,高楼层                        ,6,近地铁
整租·人生港湾南欧城 3室2厅 南,浦东,惠南,人生港湾南欧城,109,南,3室2厅2卫,高楼层                        ,6,双卫生间
整租·安图新村 1室0厅 南,杨浦,黄兴公园,安图新村,33,南,1室0厅1卫,高楼层                        ,5,"近地铁,随时看房"
整租·西凌新邨 1室0厅 南,黄浦,蓬莱公园,西凌新邨,32,南,1室0厅1卫,高楼层                        ,6,近地铁
整租·桃源二村 1室1厅 南,浦东,惠南,桃源二村,58,南,1室1厅1卫,高楼层                        ,5,近地铁
整租·华欣家园 2室0厅 南,徐汇,华泾,华欣家园,55,南,2室0厅1卫,中楼层                        ,7,随时看房
整租·昭化小区 1室1厅 南,长宁,中山公园,昭化小区,37,南,1室1厅1卫,低楼层                        ,6,"近地铁,精装"
整租·龙吴路11弄 1室1厅 南,徐汇,万体馆,龙吴路11弄,34,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装"
整租·悦茂可乐公馆 2室1厅 南,长宁,西郊,悦茂可乐公馆,60,南,2室1厅1卫,高楼层                        ,5,随时看房
整租·延长中路451弄 1室1厅 南,静安,大宁,延长中路451弄,29,南,1室1厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·蒙自路395弄 1室0厅 东/南,黄浦,五里桥,蒙自路395弄,29,东 南,1室0厅1卫,高楼层                        ,7,近地铁
整租·悦来小区 1室1厅 南,黄浦,黄浦滨江,悦来小区,47,南,1室1厅1卫,中楼层                        ,16,"近地铁,精装,随时看房"
整租·中远两湾城 1室1厅 南,普陀,中远两湾城,中远两湾城,30,南,1室1厅1卫,低楼层                        ,9,近地铁
整租·西宝兴路922弄 1室1厅 南,静安,闸北公园,西宝兴路922弄,30,南,1室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·临汾路1564弄 2室1厅 南,静安,彭浦,临汾路1564弄,56,南,2室1厅1卫,中楼层                        ,6,随时看房
